	variable_codebook	prompt	targets_value	targets	non_targets
0	EL103a	The purpose of the commercial is to encourage you to ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
1	EL105a	1. On the customer service helpline, one of the things you can do is ...	1	place a new order • check on an existing order	0 alle anderen Antworten
2	EL105b	2. To get technical information, you should first ...	1	(visit the)/(go to the company`s) website • www. • internet • resepol.kom	0 alle anderen Antworten
3	EL114a	1. German food is also unhealthy because it is often ...	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
4	EL114b	2. Today's English food is clearly influenced by ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
5	EL114c	3. The traditional Sunday roast is often served with ...	1	nur das 1. Kästchen wurde angekreuzt: a)	2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
6	EL114d	"4. A particularly common ""English"" meal is ..."	4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 
7	EL114e	5. Laura loves to go to Chinese restaurants if there is ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
8	EL117aa	1. Paddington Station	1	angekreuzt	0 nicht angekreuzt
9	EL117ab	1. Paddington Station	0	nicht angekreuzt	1 angekreuzt
10	EL117ac	1. Paddington Station	0	nicht angekreuzt	1 angekreuzt
11	EL117ad	1. Paddington Station	0	nicht angekreuzt	1 angekreuzt
12	EL117ae	1. Paddington Station	0	nicht angekreuzt	1 angekreuzt
13	EL117af	1. Paddington Station	1	angekreuzt	0 nicht angekreuzt
14	EL117ag	1. Paddington Station	0	nicht angekreuzt	1 angekreuzt
15	EL117ba	2. Oxford Circus	1	angekreuzt	0 nicht angekreuzt
16	EL117bb	2. Oxford Circus	0	nicht angekreuzt	1 angekreuzt
17	EL117bc	2. Oxford Circus	0	nicht angekreuzt	1 angekreuzt
18	EL117bd	2. Oxford Circus	0	nicht angekreuzt	1 angekreuzt
19	EL117be	2. Oxford Circus	0	nicht angekreuzt	1 angekreuzt
20	EL117bf	2. Oxford Circus	0	nicht angekreuzt	1 angekreuzt
21	EL117bg	2. Oxford Circus	1	angekreuzt	0 nicht angekreuzt
22	EL117ca	3. Liverpool Street	0	nicht angekreuzt	1 angekreuzt
23	EL117cb	3. Liverpool Street	1	angekreuzt	0 nicht angekreuzt
24	EL117cc	3. Liverpool Street	0	nicht angekreuzt	1 angekreuzt
25	EL117cd	3. Liverpool Street	1	angekreuzt	0 nicht angekreuzt
26	EL117ce	3. Liverpool Street	1	angekreuzt	0 nicht angekreuzt
27	EL117cf	3. Liverpool Street	1	angekreuzt	0 nicht angekreuzt
28	EL117cg	3. Liverpool Street	0	nicht angekreuzt	1 angekreuzt 
29	EL118a	1. What is the name of the iceberg?	1	B 15  • V 15 • Bee 15	0 alle anderen Antworten
30	EL118b	2. How long is the iceberg?	1	186 miles  • one hundred eighty six miles •  hundred eighty six miles • 186 mile	0 alle anderen Antworten
31	EL118c	3. How much of it is above the water?	1	90 feet  • 90 feets • 90 foot	0 alle anderen Antworten
32	EL118d	4. How deep does it go down into the water?	1	1300 feet  • 1300 foot	0 alle anderen Antworten
33	EL118e	5. Into how many pieces did it break?	1	4  • into four pieces • 4 pieses	0 alle anderen Antworten
34	EL118f	6. How many years could pass before it gets a challenger?	1	hundreds of years  • hundreds  • 100s • 100 of years • hundret of years	0 alle anderen Antworten 
35	EL121a	1. When did the first Rock Challenge in Dresten take place?	1	4 years ago  • before 4 years	0 alle anderen Antworten
36	EL121c	2. How old are the students who take part?	1	11-18  • 11-18 years old  • 11 till 18	0 alle anderen Antworten
37	EL121da	3. In which areas do students get help? Name two more.	1	sound drama dance costumes	0 alle anderen Antworten
38	EL121db	3. In which areas do students get help? Name two more.	1	sound drama dance costumes	0 alle anderen Antworten
39	EL121e	4. In which city did the first Rock Challenge take place?	1	Sydney  • sydney • sidney	0 alle anderen Antworten
40	EL121ga	5. Name three places where Rock Challenge is held in addiotion to the UK and Germany.	1	Australia USA South Africa New Zealand Ireland Tokio Dubai	0 alle anderen Antworten • Africa
41	EL121gb	5. Name three places where Rock Challenge is held in addiotion to the UK and Germany.	1	Australia USA South Africa New Zealand Ireland Tokio Dubai	0 alle anderen Antworten • Africa
42	EL121gc	5. Name three places where Rock Challenge is held in addiotion to the UK and Germany.	1	Australia USA South Africa New Zealand Ireland Tokio Dubai	0 alle anderen Antworten • Africa
43	EL121h	6. What do all the participants in the event avoid?	1	(no) drugs/drug-free ODER (no) alcohol/alcohol free ODER (no) smoke/(no) cigarettes  • drugfree	0 alle anderen Antworten 
44	EL124aa	1. Report from Vermont	09	i/I 12 l/L	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 10 j/J 11 k/K
45	EL124ab	1. Report from Vermont	09	i/I 12 l/L	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 10 j/J 11 k/K
46	EL124ba	2. Report from Luisiana	05	e/E 11 k/K	01 a/A 02 b/B 03 c/C 04 d/D 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J 12 l/L
47	EL124bb	2. Report from Luisiana	05	e/E 11 k/K	01 a/A 02 b/B 03 c/C 04 d/D 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J 12 l/L
48	EL124ca	3. Report from Wisconsin	01	a/A 08 h/H	02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 09 i/I 10 j/J 11 k/K 12 l/L
49	EL124cb	3. Report from Wisconsin	01	a/A 08 h/H	02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 09 i/I 10 j/J 11 k/K 12 l/L
50	EL124da	4. Report from Chicago	02	b/B 06 f/F	01 a/A 03 c/C 04 d/D 05 e/E 07 g/G 08 h/H 09 i/I 10 j/J 11 k/K 12 l/L
51	EL124db	4. Report from Chicago	02	b/B 06 f/F	01 a/A 03 c/C 04 d/D 05 e/E 07 g/G 08 h/H 09 i/I 10 j/J 11 k/K 12 l/L 
52	EL140a	1. Lancaster University belongs to a small number of universities that has ...	1	nur das 1. Kästchen wurde angekreuzt: a)	2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
53	EL140b	2. The different parts of the University are called after ...	4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 
54	EL140c	3. The name Bowland originally comes from a ...	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
55	EL140d	4. Located to the north of Lancaster there used to be ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
56	EL140e	5. To the south of Lancaster there is an area called ...	4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 
57	EL142a	1. Why can't Anthony come and pick her up?	1	baby-sit  • he has to baby-sit	0 alle anderen Antworten
58	EL142b	2. Why is Lindsey worried?	1	doesn’t know the locality  • never been to Coventry • hasn’t got his address • doesn’t know where she is • doesn’t know where she has to go• fear not to find way	0 alle anderen Antworten
59	EL142c	3. Where is Lindsey during the phone call?	1	station  • outside main station • at station	0 alle anderen Antworten
60	EL142d	4. How far away is Anthony's house?	1	150 m  • 150 metres	0 alle anderen Antworten • 150
61	EL142e	5. Where does she have to go first?	1	turn left • to the statue	0 alle anderen Antworten
62	EL142g	6. What can Lindsey see next to her friend's house?	1	post box  • mail box • letter box • red letter box	0 alle anderen Antworten 
63	EL143a	Die folgenden vier Elemente müssen in der Notiz genannt werden. Die Reihenfolge des Auftretens der Elemente in der Notiz ist dabei egal.	1	Joey called • call from Joey • Joey • Joey • johy • Joy • Joie • joe • Joi	0 Element 1 ist nicht vorhanden oder falscher Name wiedergegeben.
64	EL143b	Die folgenden vier Elemente müssen in der Notiz genannt werden. Die Reihenfolge des Auftretens der Elemente in der Notiz ist dabei egal.	1	can’t play football • cannot make it • cannot make it tonight • supposed to play football • cannot come tonight	0 Element 2 nicht vorhanden oder sinnverfälschend wiedergegeben. • She can´t make it.
65	EL143c	Die folgenden vier Elemente müssen in der Notiz genannt werden. Die Reihenfolge des Auftretens der Elemente in der Notiz ist dabei egal.	1	needs his football shirt • needs his Celtic football shirt • wants his jersey • needs Jersy	0 Element 3 nicht vorhanden oder sinnverfälschend wiedergegeben. • needs celtic • Tom needs jersey
66	EL143d	Die folgenden vier Elemente müssen in der Notiz genannt werden. Die Reihenfolge des Auftretens der Elemente in der Notiz ist dabei egal.	1	0873573332 • zero eight seven three five seven three three three two	0 Element 4 nicht vorhanden oder Telefonnummer falsch wiedergegeben. 
67	EL146a	1. Which films would Betty like to watch?	4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 
68	EL146b	2. Why doesn't Claudia want to go to the cinema?	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
69	EL146c	3. Where would Claudia like to go instead?	1	nur das 1. Kästchen wurde angekreuzt: a)	2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
70	EL146d	4. Why doesnt Betty want to go there?	4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 
71	EL146e	5. Where do Betty and Claudia go in the end?	1	nur das 1. Kästchen wurde angekreuzt: a)	2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
72	EL146f	6. What helps Betty and Claudia to make a final decision?	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
73	EL150a	1. What's the new address?	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
74	EL150b	2. When will the office be open again?	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
75	EL150c	3. What's the new telephone number?	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
76	EL159a	1. What do visitors need in order to enjoy the Scottish countryside?	1	good weather  • nice weather • sunshine	0 alle anderen Antworten
77	EL159b	2. What are people in Scotland really like?	1	open • not mean • generous	0 alle anderen Antworten
78	EL159c	3. Which town does the speaker like best?	1	Glasgow  • glasgo	0 alle anderen Antworten
79	EL159d	4. Name one thing you can do on your visit to Scotland.	1	go shopping • shop • museums • beautiful houses • famous houses beautiful architecture • famous architecture • museum	0 alle anderen Antworten • houses • architecture • architect • fitness, museums
80	EL159e	5. What was Mr Mackintosh's job?	1	architect	0 alle anderen Antworten 
81	EL160a	1. What time of the year was it?	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
82	EL160b	2. What is her favourite German town?	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
83	EL160c	3. How does she describe the Germans?	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
84	EL160d	4. What has she got in Schleswig-Holstein?	4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 
85	EL160e	5. Where did she learn German?	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
86	EL160f	6. What does she think about German food?	1	nur das 1. Kästchen wurde angekreuzt: a)	2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
87	EL162a	Limerick 1	04	d/D	01 a/A 02 b/B 03 c/C 05 e/E 06 f/F
88	EL162b	Limerick 2	01	a/A	02 b/B 03 c/C 04 d/D 05 e/E 06 f/F
89	EL162c	Limerick 3	06	f/F	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E
90	EL162d	Limerick 4	02	b/B	01 a/A 03 c/C 04 d/D 05 e/E 06 f/F 
91	EL163a	1. Room number	1	301  • threee-o-one	0 alle anderen Antworten
92	EL163b	2. What is the problem in Mr Mosely's room?	1	no hot water  • no hot water •  no hot running water • wants hot water • needs hot water • no boiled water • no warm water • cold water	0 alle anderen Antworten
93	EL163c	3. Why does the man need someone to come to his room quickly?	1	meeting this morning  • meeting in the morning	0 alle anderen Antworten
94	EL163d	4. Room number	1	902  • nine-o-two	0 alle anderen Antworten
95	EL163e	5. What is the problem in the woman's room?	1	bed hasn’t been changed  • wants new beding • new beding • no fresh towels • wants fresh towels • wants new towels  • fresh towels • new towels  • beding	0 alle anderen Antworten • bed (zu unspezifisch) • towels • Beth aren’t ok
96	EL163f	6. When will the hotel solve the problem?	1	immediately • now • directly • within the hour  • imediately	0 alle anderen Antworten
97	EL163g	7. Room number	1	207  • two-o-sewen	0 alle anderen Antworten
98	EL163h	8. What is the problem in Mr Doyle's room?	1	horrible pillows • terrible pillows • new pillows • wants new pillows • soft pillows • pillows too soft	0 alle anderen Antworten • pillows
99	EL163i	9. When did he fist talk to the hotel about his problem?	1	yesterday  • last night • previous night • previous day • day before • night before	0 alle anderen Antworten 
100	EL165aa	1. Name two types of food which helped the speaker know what season it was. a)	1	fresh flowers ODER flowers • strawberries • new potatoes ODER potatoes • English tomatoes ODER tomatoes	0 alle anderen Antworten
101	EL165ab	1. Name two types of food which helped the speaker know what season it was. b)	1	fresh flowers ODER flowers • strawberries • new potatoes ODER potatoes • English tomatoes ODER tomatoes	0 alle anderen Antworten
102	EL165b	2. Each year, the first tomatoes came from...	1	the Channel Islands • Channel Islands • Jersey  • channel island • jersei	0 alle anderen Antworten
103	EL165c	3. The speaker and his mum ate the tomatoes as though they were...	1	apples  • aple	0 alle anderen Antworten
104	EL165d	4. The number of tomatoes grown and eaten in England is...	1	a quarter  • one fourth • ¼ • 25%	0 alle anderen Antworten
105	EL165e	5. Recently, the amount of tomatoes produced has decreased by...	1	half  • ½ • 50%	0 alle anderen Antworten
106	EL165f	6. This year the percent of outdoor tomatoes will drop to...	1	none  • 0 • no tomatoes • sero	0 alle anderen Antworten 
107	EL171a	1. The beasts consist of a number of...	1	different creatures	0 alle anderen Antworten
108	EL171b	2. They were placed at the entrance...	1	of a city • of a palace • a city • a palace	0 alle anderen Antworten
109	EL171c	3. The lion legs demonstrate...	1	strength	0 alle anderen Antworten
110	EL171d	4. These figures seem to express that they are...	1	not afraid	0 alle anderen Antworten
111	EL171e	5. A strange feature of these animals is the...	1	number of legs	0 alle anderen Antworten 
112	EL172a	What does the commercial ask the listeners to do?	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
113	EL176a	(1) first name - father	1	Lorenzo • Lorenco • Lorenso • David • Davide • Zenetti • Cenety • Zenati • Zenatti  • lorenzo • david • ceneti	0 alle anderen Antworten
114	EL176b	(2) origin - father	1	Italian • from Italy • Italy  • italian • itelian • Itali	0 alle anderen Antworten
115	EL176c	(3) job - mother	1	housewife • mother  • housewife and mother • house wife • housewive	0 alle anderen Antworten • wife • houswoman
116	EL176d	(4) job - father	1	businessman  • bussinesman • businesman	0 alle anderen Antworten
117	EL176f	(5) cooking - mother	1	French cuisine • French • French cooking  • french • France • france	0 alle anderen Antworten 
118	EL201a	What is the main message of the radio spot?	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
119	EL202a	2. Second picture	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 
120	EL202b	2. Third picture	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 
121	EL202c	3. Fourth picture	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 
122	EL202d	4. Fifth picture	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 
123	EL202e	5. Last picture	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 
124	EL208a		06	f/F	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 07 g/G
125	EL208b		01	a/A	02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G
126	EL208c		07	g/G	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 06 f/F
127	EL208d		05	e/E	01 a/A 02 b/B 03 c/C 04 d/D 06 f/F 07 g/G
128	EL208e		04	d/D	01 a/A 02 b/B 03 c/C 05 e/E 06 f/F 07 g/G 
129	EL210a	What is the podcast about? It is about	4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 
130	EL361a	1. In the city you can find ... (Name one)	1	two universities • universities • shops • lively city centre	0 alle anderen Antworten • university • shop
131	EL361b	2. Around the city there are ...	1	fields • forests • mountains	0 alle anderen Antworten • field • forest • mountain
132	EL361c	3. In the past Aberdeen was famous for its ...	1	harbour • fishing • fishing industry	0 alle anderen Antworten
133	EL361d	4. Today Abardeen is well-off because of its ... (Name one)	1	oil • industry • north sea oil • north sea industry • offshore oil rigs	0 alle anderen Antworten
134	EL361e	5. In Aberdeen there is a lot of work for ...	1	engineers	0 alle anderen Antworten 
135	EL377a	1. What was one of the main problems with the streets?	4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 
136	EL377b	2. What can a Sedan Chair be compared to today?	1	nur das 1. Kästchen wurde angekreuzt: a)	2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
137	EL377c	3. Where would people put a Sedan Chair?	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
138	EL378a	1. What team does the Junior Team play against?	1	New York	0 alle anderen Antworten
139	EL378b	2. How many people are on the Junior Team?	1	13 • 13 boys	0 alle anderen Antworten
140	EL378c	3. What day will they meet?	1	Saturday	0 alle anderen Antworten
141	EL378d	4. When will the girls talk again on the phone?	1	7:30 • 19.30	0 alle anderen Antworten 
142	EL549a	1. Place of birth	1	Canada	0 alle anderen Antworten
143	EL549b	2. Hair color	1	brown	0 alle anderen Antworten
144	EL549c	3. School subject she likes	1	history	0 alle anderen Antworten
145	EL549d	4. Sport she plays with her dad	1	basketball	0 alle anderen Antworten
146	EL549e	5. Favorite film	1	Harry Potter (Half-Blood  Prince)	0 alle anderen Antworten 
147	EL625a	1. Kate was on an exchange in the US for ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
148	EL625b	2. Before her exchange, Kate had ...	04	nur das 4. Kästchen wurde angekreuzt: d)	01 1. Kästchen wurde angekreuzt 02 2. Kästchen wurde angekreuzt 03 3. Kästchen wurde angekreuzt 
149	EL625c	3. When leaving for the US, above all Kate felt ...	4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 
150	EL625d	4. Most girls that Kate met at the Boston high school were ...	1	nur das 1. Kästchen wurde angekreuzt: a)	2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurdeangekreuzt 4 4. Kästchen wurdeangekreuzt 
151	EL625e	5. According to Kate, most lessons at her high school were ...	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
152	EL625f	6. Kate thinks that her politics teacher in the US was ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
153	EL625g	7. Most school kids that Kate met in the US ...	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
154	EL626a	1. Before starting at YouthCare, Jennifer ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
155	EL626b	2. Every time Jennifer passed by the YouthCare building, she felt ...	1	nur das 1. Kästchen wurde angekreuzt: a)	2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
156	EL626c	3. When Jennifer entered the building to start cooking for the kids, she felt ...	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
