	variable_codebook	prompt	targets_value	targets	non_targets
157	EL626d	4. Jennifer's firt meeting with the young kids went ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
158	EL626e	5. For Jennifer, the most important thing is to ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
159	EL626f	"6. Who does Jennifer call ""guest chefs""?"	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
160	EL626g	7. Jennifer's favorite experience was when ...	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
161	EL626h	8. To work at YouthCare, interested teenagers ...	4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 
162	EL626i	"9. By ""The Incredibles"", Jennifer means ..."	4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 
163	EL627a	1. Sarah enjoys ...	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
164	EL627b	2. For Monica, it is important to ...	1	nur das 1. Kästchen wurde angekreuzt: a)	2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
165	EL627c	3. Thomas prefers holiday in which he ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 Falsch: 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
166	EL627d	4. Laura loves holidays in which she ...	4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
167	EL627e	5. For David, the most important thing is to ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
168	EL628a	1. Tom has not sent you a text message because ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
169	EL628b	2. You will meet Tom at ...	4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
170	EL628c	3. Susan informs you that the party will ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
171	EL628d	4. Susan asks you to see her on ...	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
172	EL628e	5. Kate has called because she ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
173	EL628f	6. Katie asks you to ...	1	nur das 1. Kästchen wurde angekreuzt: a)	2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
174	EL629a	1. The advantage of talent shows ...	1	show hidden talents • show talents • fun to see what your classmates do	0 alle anderen Antworten • can be good
175	EL629b	2. Cynthia has seen many candidates with ...	1	no talent • no real talent • with little talent • with not much talent • without talent	0 alle anderen Antworten
176	EL629c	3. Cynthia prefers ...	1	small talent shows • small shows • school talent shows • school shows 	0 alle anderen Antworten
177	EL629d	4. Cynthia finds the big commercialized shows ...	1	not much fun • not very funny • not fun • not enjoyable  • not funny	0 alle anderen Antworten
178	EL629e	5. Many people's view ...	1	(talent shows only give) five minutes of fame	0 alle anderen Antworten
179	EL629f	6. Steve disagrees because ... (name one)	1	people (have been able to) show/showed/have shown/(have) prove(d) talent ODER people have had great success (in the long run) ODER (have been) successful	0 alle anderen Antworten
180	EL629g	7. Advantage for the public (name one)	1	there is more choice • choice • people can choose • people can choose themselves • choose themselves • choose • it is democratic • democratic • more democratic • it is more democratic	0 alle anderen Antworten 
181	EL631a	1. Yuto ...	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
182	EL631b	2. According to Janet, ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
183	EL631c	3. Tawanda ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
184	EL631d	4. Badrick ...	1	nur das 1. Kästchen wurde angekreuzt: a)	2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
185	EL631e	5. According to Trevor, Britain's political system ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
186	EL631f	6. According to Lucy, people in her town Hastings ...	4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
187	EL641a	1. Claire	05	E/e	01 A/a 02 B/b 03 C/c 04 D/d 06 F/f 07 G/g
188	EL641b	2. Trevor	01	A/a	02 B/b 03 C/c 04 D/d 05 E/e 06 F/f 07 G/g
189	EL641c	3. Jane	03	C/c	01 A/a 02 B/b 04 D/d 05 E/e 06 F/f 07 G/g
190	EL641d	4. Brad	02	B/b	01 A/a 03 C/c 04 D/d 05 E/e 06 F/f 07 G/g 
191	EL642a	Fiona (1)	02	B/b	01 A/a 03 C/c 04 D/d 05 E/e 06 F/f 07 G/g
192	EL642b	Paul (2)	04	D/d	01 A/a 02 B/b 03 C/c 05 E/e 06 F/f 07 G/g
193	EL642c	Rachel (3)	01	A/a	02 B/b 03 C/c 04 D/d 05 E/e 06 F/f 07 G/g
194	EL642d	Danny (4)	05	E/e	01 A/a 02 B/b 03 C/c 04 D/d 06 F/f 07 G/g 
195	ELi001a		1	nur das 1. Kästchen wurde angekreuzt	2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
196	ELi001b		3	nur das 3. Kästchen wurde angekreuzt	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 
197	ELi001c		1	nur das 1. Kästchen wurde angekreuzt	2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
198	ELi002a	1. Ron is phoning because…	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
199	ELi002b	2. Tick the correct telephone number	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 
200	ELi003a	1. Lisa carried her mobile, ...	1	nur das 1. Kästchen wurde angekreuzt: a)	2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
201	ELi003b	2. Lisa has broken her mobile when...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
202	ELi003c	3. Now she can...	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 
203	ELi004a	1. Ron wants to work in the book store ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
204	ELi004b	2. His number is ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
205	ELi005a	1. The man is Kisty's old ...	1	nur das 1. Kästchen wurde angekreuzt: a)	2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
206	ELi005b	2. He has a new flat ...	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 
207	ELi005c	3. His flat has got a modern kitchen and ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
208	ELi005d	4. The man invites Kirsty...	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 
209	ELi006a	1. She weants to know how he started s...	1	kateboarding • skateboarding	0 alle anderen Antworten
210	ELi006b	2. It started when his s... Carol took him with her.	1	ister • sister	0 alle anderen Antworten
211	ELi006c	3. He was only t... years old then.	1	hree • three	0 alle anderen Antworten
212	ELi006d	4. First it was only a g... , but he learned quickly.	1	ame • game	0 alle anderen Antworten
213	ELi006e	5. Today he is the most famous skater in A... .	1	ustralia • Australia	0 alle anderen Antworten
214	ELi006f	6. He works as a stunt man in f... .	1	ilms • films	0 alle anderen Antworten 
215	ELi007a	1. What does she want to drink?	1	milk shake • shake • strawberry milk shake • strawberry milk • strawberry milk shake • strawberry shake	0 alle anderen Antworten • milk
216	ELi007b	2. What size does she take?	1	large	0 alle anderen Antworten
217	ELi007c	3. What does she want for the dog?	1	water	0 alle anderen Antworten
218	ELi007d	4. What is the name of the girl's dog?	1	Gina	0 alle anderen Antworten
219	ELi007e	5. How much does she pay?	1	5	0 alle anderen Antworten 
220	ELi008a	1. Jenny has got an invitation to ...	04	D/d	01 A/a 02 B/b 03 C/c 05 E/e 06 F/f
221	ELi008b	2. Jenny will ...	01	A/a	02 B/b 03 C/c 04 D/d 05 E/e 06 F/f
222	ELi008c	3. The meeting in her office is ...	06	F/f	01 A/a 02 B/b 03 C/c 04 D/d 05 E/e
223	ELi008d	4. Jenny will see Bill ...	02	B/b	01 A/a 03 C/c 04 D/d 05 E/e 06 F/f 
224	ELi009a	1. What does he need to borrow books?	1	a card • a library card • card • library card	0 alle anderen Antworten
225	ELi009b	2. What class is he in?	1	in class 8B • in class 8 • in 8B • class 8B • 8B • 8 • class 8 • in 8	0 alle anderen Antworten
226	ELi009c	3. How old is Daniel?	1	15 years • 15	0 alle anderen Antworten
227	ELi009d	4. What does he need to finish the document?	1	a photo • photo	0 alle anderen Antworten
228	ELi009e	5. For how long can he borrow the books?	1	week • a week • next week	0 alle anderen Antworten 
229	ELi010a	The lady is angry because some children ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
230	ELi011a	1. Sarah’s family name is …	1	nur das 1. Kästchen wurde angekreuzt: a)	2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
231	ELi011b	2. You can hear the show …	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
232	ELi011c	3. The name of the show is …	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 
233	ELi011d	4. The person calling is …	1	nur das 1. Kästchen angekreuzt: a)	2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
234	ELi011e	5. Julia is …	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 
235	ELi011f	6. She has broken …	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
236	ELi011g	7. They miss Julia …	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
237	ELi012a	1. Anna wants to buy ...	1	nur das 1. Kästchen wurde angekreuzt: a)	2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
238	ELi012b	2. Now it's ...	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 
239	ELi012c	3. Steve wants to buy a new smartphone because …	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
240	ELi012d	4. Steve and Anna are ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
241	ELi013a	1. You are listening to ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
242	ELi013b	2. Tomorrow, it will be ...	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 
243	ELi014a	1. The boy's name is ...	1	Max  • His name is Max	0 alle anderen Antworten
244	ELi014b	2. The girl wants to go to a concert of ... (singer)	1	Robbie Williams  • Robie Willems	0 alle anderen Antworten
245	ELi014c	3. The concert starts at ... (time)	1	8	0 alle anderen Antworten
246	ELi014d	4. They meet at ... (place)	1	bus	0 alle anderen Antworten 
247	ELi015a	1. The date is in ... minutes	1	10 minutes • 10 	0 alle anderen Antworten
248	ELi015b	2. The man has to go straight and then turn ...	1	right	0 alle anderen Antworten
249	ELi015c	3. The cinema is next to ...	1	big shopping center • shopping center • shopping mall	0 alle anderen Antworten 
250	ELi016a	1. What day is today?	1	nur das 1. Kästchen wurde angekreuzt: a)	2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
251	ELi016b	2. Where is the Radio Show?	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
252	ELi016c	3. When children knock on the doors, they shout …	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
253	ELi016d	4. How do the children look like?	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 
254	ELi016e	5. Lucy is listening to the radio show. She wants to win. What is she doing now?	1	nur das 1. Kästchen wurde angekreuzt: a)	2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
255	ELi017a	1. What are you listening to?	2	nur das 2. Kästchen wurde angekreuzt	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
256	ELi017b	2. Who is talking?	1	nur das 1. Kästchen wurde angekreuzt	2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
257	ELi017c	3. What costumes do the people wear?	3	nur das 3. Kästchen wurde angekreuzt	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 
258	ELi017d	4. What does the family look like?	1	nur das 1. Kästchen wurde angekreuzt	2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
259	ELi018a	Who eats and drinks what? Megan	1	b	0 alle anderen Antworten
260	ELi018b	Who eats and drinks what? Megan's brother	1	a	0 alle anderen Antworten
261	ELi018c	Who eats and drinks what? Megan's mother	1	d	0 alle anderen Antworten 
262	ELi019a	1. Anne	4	nur das 4. Kästchen wurde angekreuzt: diary	1 1. Kästchen angekreuzt: video game 2 2. Kästchen angekreuzt: cake 3 3. Kästchen angekreuzt: cosmetics
263	ELi019b	2. Jake	2	nur das 2. Kästchen wurde angekreuzt: cake	1 1. Kästchen angekreuzt: video game 3 3. Kästchen angekreuzt: cosmetics 4 4. Kästchen angekreuzt: diary 
264	ELi020a	Jill is in the gym of …	02	B/b	01 A/a 03 C/c 04 D/d 05 E/e 06 F/f 07 G/g
265	ELi020b	Her friend´s name is …	06	F/f	01 A/a 02 B/b 03 C/c 04 D/d 05 E/e 07 G/g
266	ELi020c	Paul has broken …	03	C/c	01 A/a 02 B/b 04 D/d 05 E/e 06 F/f 07 G/g
267	ELi020d	The ambulance will be at the school in …	07	G/g	01 A/a 02 B/b 03 C/c 04 D/d 05 E/e 06 F/f
268	ELi020e	The school address is …	04	D/d	01 A/a 02 B/b 03 C/c 05 E/e 06 F/f 07 G/g 
269	ELi021a	1. mum	3	C/c	1 A/a 2 B/b 4 D/d 5 E/e
270	ELi021b	2. Suzy	2	B/b	1 A/a 3 C/c 4 D/d 5 E/e
271	ELi021c	3. brother	4	D/d	1 A/a 2 B/b 3 C/c 5 E/e 
272	ER005a		02	b/B	01 a/A 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G
273	ER005b		04	d/D	01 a/A 02 b/B 03 c/C 05 e/E 06 f/F 07 g/G
274	ER005c		01	a/A	02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G
275	ER005d		07	g/G	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 06 f/F
276	ER005e		03	c/C	01 a/A 02 b/B 04 d/D 05 e/E 06 f/F 07 g/G 
277	ER013a	1. Anne is happy, because she can meet her friends.	2	false	1 true 3 not given
278	ER013b	2. Anne's mother thinks she is not very intelligent.	3	not given	1 true 2 false
279	ER013c	3. Anne shouldn't tell her mother that she needs help.	2	false	1 true 3 not given
280	ER013d	4. Anne should get her Mum to believe in her.	1	true	2 false 3 not given
281	ER013e	5. Anne's mother may let her go out if her school work gets better.	1	true	2 false 3 not given
282	ER013f	6. Anne should ask her friends for help.	3	not given	1 true 2 false 
283	ER015a		03	c/C	01 a/A 02 b/B 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J
284	ER015b		07	g/G	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 08 h/H 09 i/I 10 j/J
285	ER015c		01	a/A	02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J
286	ER015d		08	h/H	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 09 i/I 10 j/J
287	ER015e		04	d/D	01 a/A 02 b/B 03 c/C 05 e/E 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J
288	ER015f		10	j/J	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 09 i/I
289	ER015g		09	i/I	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 10 j/J 
290	ER016a	1. How long is the shop open every day?	1	24 hours  • the hole day • all day • day and night	0 alle anderen Antworten
291	ER016b	2. What is the shop called?	1	2000 • Shop 2000 • vending machine	0 alle anderen Antworten
292	ER016c	3. In what two ways can you pay?	1	coins and card  • coins and card • coin and credit card • cash + visa • cash / credit-card • money and card • to coin / card • creditcard + money	0 alle anderen Antworten • coincard • coin- and credit-card-operated
293	ER016d	4. How many different things does the shop sell?	1	up to 200 items • up to 200 • 200 • 200 items	0 alle anderen Antworten 
294	ER021a		09	i/I	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 10 j/J 11 k/K
295	ER021b		05	e/E	01 a/A 02 b/B 03 c/C 04 d/D 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J 11 k/K
296	ER021c		10	j/J	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 09 i/I 11 k/K
297	ER021d		06	f/F	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 07 g/G 08 h/H 09 i/I 10 j/J 11 k/K
298	ER021e		03	c/C	01 a/A 02 b/B 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J 11 k/K
299	ER021f		11	k/K	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J
300	ER021g		02	b/B	01 a/A 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J 11 k/K
301	ER021h		01	a/A	02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J 11 k/K
302	ER021i		04	d/D	01 a/A 02 b/B 03 c/C 05 e/E 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J 11 k/K 
303	ER024a	1. In which street is the house in the advert?	1	Sandy Lane  • sandy lane	0 alle anderen Antworten
304	ER024b	2. How old is the house?	1	10 years  • ten years old • 10 year	0 alle anderen Antworten • 10
305	ER024c	3. Which town is one mile away?	1	Waldon  • waldon	0 alle anderen Antworten
306	ER024d	4. What size is the sunny garden behind the house?	1	large  • big • huge	0 alle anderen Antworten
307	ER024e	5. How many cars can you put in the garage?	1	2	0 alle anderen Antworten
308	ER024f	6. Where is the bathroom with the shower?	1	 it is downstairs • downstairs  • downstair	0 alle anderen Antworten  • basement 
309	ER045a	1. Where can you see animals every day?	01	a/A	02 b/B 03 c/C
310	ER045b	2. Which theme park offers places to eat?	02	b/B	01 a/A 03 c/C
311	ER045c	3. Which theme park has most activities?	02	b/B	01 a/A 03 c/C
312	ER045d	4. Which theme park is closed on Sundays?	03	c/C	01 a/A 02 b/B
313	ER045e	5. Which place is not very well known yet?	01	a/A	02 b/B 03 c/C
314	ER045f	6. Which park is in large area of lovely countryside?	03	c/C	01 a/A 02 b/B 
315	ER052a	1. Lots of animals lived here up to 1934.	06	f/F	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 07 g/G
316	ER052b	2. The big house near the lake was finished in 1872.	07	g/G	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 06 f/F
317	ER052c	3. This area was a lake until 1937, now there is grass.	05	e/E	01 a/A 02 b/B 03 c/C 04 d/D 06 f/F 07 g/G
318	ER052d	4. A wooden roundabout has been here since 1873.	03	c/C	01 a/A 02 b/B 04 d/D 05 e/E 06 f/F 07 g/G
319	ER052e	5. The place became the official symbol of the nation in 1965.	01	a/A	02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 
320	ER057a	The text is...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
321	ER065a	1. When she looks at the street where Margaret lives, Sal is...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
322	ER065b	2. Sal's attitude towards Margaret is...	1	nur das 1. Kästchen wurde angekreuzt: a)	2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
323	ER065c	3. Sal's father's behavior towards Margaret is...	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
324	ER065d	4. Sal's father thinks his daughter should...	4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 
325	ER072a		08	h/H	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 09 i/I 10 j/J
326	ER072b		02	b/B	01 a/A 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J
327	ER072c		07	g/G	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 08 h/H 09 i/I 10 j/J
328	ER072d		09	i/I	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 10 j/J
329	ER072f		01	a/A	02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J
330	ER072g		03	c/C	01 a/A 02 b/B 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J
331	ER072h		06	f/F	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 07 g/G 08 h/H 09 i/I 10 j/J 
332	ER080a		08	h/H	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 09 i/I 10 j/J 11 k/K 12 l/L
333	ER080b		04	d/D	01 a/A 02 b/B 03 c/C 05 e/E 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J 11 k/K 12 l/L
334	ER080c		03	c/C	01 a/A 02 b/B 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J 11 k/K 12 l/L
335	ER080d		06	f/F	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 07 g/G 08 h/H 09 i/I 10 j/J 11 k/K 12 l/L
336	ER080e		01	a/A	02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J 11 k/K 12 l/L
337	ER080f		12	l/L	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J 11 k/K
338	ER080g		07	g/G	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 08 h/H 09 i/I 10 j/J 11 k/K 12 l/L
339	ER080h		10	j/J	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 09 i/I 11 k/K 12 l/L
340	ER080i		11	k/K	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J 12 l/L
341	ER080j		02	b/B	01 a/A 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J 11 k/K 12 l/L 
342	ER084a	The text is about...	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
343	ER093a	1. What is the problem described in this article?	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
344	ER093b	2. Which of the following statements is mentioned in the article?	1	nur das 1. Kästchen wurde angekreuzt: a)	2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
